Sequence No.,V,D,air density,I,S_b,y (% relative to rated power)
1,7.96,138.9,1.14022441,0.090452261,0.266511953,36.5030303
2,8.19,140.6,1.140522241,0.083028083,0.286167448,34.97575758
3,7.2,139.3,1.14077114,0.098611111,0.339321223,21.73939394
4,6.81,137.4,1.14118627,0.101321586,0.375814946,16.61818182
5,5.09,137.5,1.141463912,0.16502947,0.303472124,7.927272727
6,5.24,134.8,1.141897573,0.131679389,0.167220997,8.745454545
7,5.58,140.7,1.142157807,0.078853047,0.33445696,10.2969697
8,5.77,142.9,1.142237864,0.074523397,0.29165994,7.551515152
9,6.03,144.1,1.142301046,0.096185738,0.278261725,8.703030303
10,6.53,142.3,1.142392853,0.075038285,0.385336077,11.3030303
11,5.94,143.7,1.142912619,0.087542088,0.334316735,8.327272727
12,5.98,142.4,1.143064599,0.078595318,0.353575464,8.684848485
13,6.07,139,1.143275274,0.098846787,0.444109996,9.751515152
14,5.85,133.5,1.143281882,0.131623932,0.227710652,7.454545455
15,6.33,133.2,1.143668369,0.169036335,0.304136098,11.56969697
16,6.18,133.3,1.14391788,0.132686084,0.316201643,9.406060606
17,6.54,134.2,1.14391613,0.114678899,0.356600965,8.387878788
18,5.63,133.1,1.144440788,0.18294849,0.197939869,9.678787879
19,4.66,130.1,1.144729299,0.231759657,0.038463819,15.77575758
20,6.44,133.7,1.145130576,0.150621118,0.27893609,17.38787879
21,7.25,137,1.145318757,0.056551724,0.3511018,19.2
22,6.96,137.8,1.145602666,0.058908046,0.471056331,22.53939394
23,7.08,135.6,1.146075107,0.09039548,0.469919827,27.11515152
24,5.91,139.2,1.147088211,0.123519459,0.340525706,22.72121212
25,6.18,143.6,1.147632352,0.106796117,0.370738831,20.25454545
26,5.94,145.5,1.147887295,0.092592593,0.356157915,17.02424242
27,5.72,146,1.147715487,0.101398601,0.330141019,12.12121212
28,6.12,147.8,1.148385862,0.132352941,0.311169439,13.84242424
29,7.5,148,1.148087789,0.090666667,0.437196368,19.88484848
30,7.44,147.9,1.148211273,0.095430108,0.433825672,34.96969697
31,7.71,146.8,1.148532603,0.088197147,0.542233746,35.57575758
32,7.36,146.6,1.148257097,0.076086957,0.380964591,20.93939394
33,7.11,147.6,1.148526894,0.090014065,0.425693433,18.79393939
34,6.51,143.8,1.148599839,0.072196621,0.248864827,11.91515152
35,6.25,147.3,1.149343576,0.0992,0.316493406,11.17575758
36,6.82,142.8,1.14921382,0.096774194,0.390693636,12.97575758
37,7.15,142.8,1.149496881,0.085314685,0.400633114,16.61212121
38,6.89,146.4,1.149675073,0.09724238,0.340792786,17.6
39,7.57,147,1.149295067,0.099075297,0.43630103,24.91515152
40,7.42,146.3,1.149629042,0.090296496,0.384714548,24.98181818
41,7.87,146.4,1.149331581,0.095298602,0.367476309,27.54545455
42,8.44,144.1,1.14908722,0.077014218,0.334522756,23.68484848
43,7.97,144.7,1.149131977,0.095357591,0.362467887,23.18787879
44,7.76,146.9,1.149434153,0.083762887,0.359645324,24.99393939
45,8.23,150.7,1.149920931,0.074119077,0.401202813,46.0969697
46,8.46,153.4,1.150145634,0.063829787,0.389280319,43.96969697
47,9.02,154.4,1.150127988,0.063192905,0.383412613,50.78181818
48,6.47,160.6,1.150757521,0.120556414,0.138097011,53.57575758
49,6.94,158.6,1.150978089,0.121037464,0.218437328,51.44848485
50,6.66,159,1.151141703,0.13963964,0.144689376,46.76969697
51,5.91,160,1.151849753,0.104906937,0.184066162,36.87272727
52,5.84,161.7,1.151606619,0.15239726,0.398900882,31.47878788
53,6.7,163.8,1.152082892,0.137313433,0.483255569,31.97575758
54,5.66,162.1,1.152094741,0.171378092,0.389335593,28.92121212
55,6.19,161.8,1.152187682,0.10177706,0.430240151,25.81818182
56,6.2,160.4,1.151733718,0.109677419,0.3027541,34.19393939
57,5.87,159,1.151733718,0.126064736,0.256426252,25.38181818
58,5.3,160.9,1.151757419,0.124528302,0.248044061,26.98787879
59,5.16,159.9,1.152290689,0.13372093,0.384411031,21.34545455
60,5.3,161.8,1.152320787,0.167924528,0.243362858,25.42424242
61,8.43,168.9,1.151630388,0.060498221,0.500269052,33.76363636
62,7.11,168.6,1.151913985,0.075949367,0.63588617,6.236363636
63,6.24,162.3,1.15204982,0.131410256,0.527923418,7.115151515
64,5.88,163.7,1.151799042,0.147959184,0.569588979,11.41212121
65,5.75,164,1.15219944,0.135652174,0.481213915,12.69090909
66,6.16,164.4,1.151700551,0.108766234,0.544874064,11.95151515
67,5.42,159.7,1.151863684,0.116236162,0.228572374,18.81818182
68,6.2,163.6,1.151819873,0.15,0.495653165,19.69090909
69,6.26,163.7,1.152019634,0.138977636,0.50810703,22.66666667
70,6.8,167.2,1.152192098,0.091176471,0.583098067,22.54545455
71,7.05,166.9,1.151994962,0.112056738,0.422057294,21.32121212
72,7.49,169,1.151883584,0.072096128,0.40913384,30.47272727
73,7.35,169.7,1.151840716,0.068027211,0.439699827,24.6
74,7.58,170.1,1.152315325,0.056728232,0.453563913,28.38787879
75,8.09,172.7,1.152196621,0.058096415,0.382577138,32.42424242
76,8.18,173.1,1.15217288,0.0599022,0.400637662,36.38787879
77,7.61,175.4,1.152094368,0.103810775,0.25652113,34.21818182
78,7.04,176.7,1.152342719,0.151988636,0.239646206,28.48484848
79,5.79,179.4,1.152485168,0.13298791,0.159010989,25.15757576
80,5.5,180.5,1.152426715,0.127272727,0.12458761,27.11515152
