Sequence No.,V,D,air density,humidity,I,S_a,S_b,y (% relative to rated power)
1,4.550075,214.8607,1.295691915,82.412907,0.072469597,0.005505735,0.107216195,5.086666667
2,4.274251,222.0099,1.295631604,82.786235,0.075889343,0.010306156,0.00525416,3.096666667
3,4.997228,256.3029,1.293296401,86.820626,0.059367033,0.032456182,0.011794928,6.306666667
4,4.667417,262.7713,1.293335395,86.576437,0.089821415,0.058217118,0.019196209,3.22
5,4.685268,258.1028,1.292941558,86.379654,0.054825914,0.021543835,0.022743497,2.003333333
6,4.50199,264.5803,1.29297788,86.587942,0.072880082,0.01851006,0.014482182,2.963333333
7,4.288622,316.0534,1.295702829,87.016218,0.097871251,0.050688,0.189476934,1.55
8,4.562794,333.7228,1.289143629,81.082257,0.049214692,0.003995715,0.049174331,4.146666667
9,4.258228,331.8207,1.288937242,80.196546,0.061106827,0.002019604,0.054896582,1.906666667
10,4.264082,331.3544,1.28859939,79.999769,0.051758643,0.046126032,0.053558484,2.333333333
11,4.157968,334.5765,1.288056672,79.365587,0.067575604,0.067661207,0.049478702,3.043333333
12,4.132273,332.6029,1.287733308,79.673256,0.039335252,0.000904838,0.044201757,1.88
13,4.142955,338.2331,1.286658821,79.968027,0.039752809,0.00991784,0.071802919,3.176666667
14,4.45028,337.5266,1.286911719,79.812509,0.049071901,0.027779815,0.038367524,4.043333333
15,4.207817,337.6972,1.286711384,80.075939,0.065129638,0.051238036,0.034928885,5.79
16,4.285045,337.3116,1.286929178,80.853541,0.076976204,0.132482725,0.042217983,4.103333333
17,3.74886,333.4804,1.286426048,81.107649,0.060566172,0.092649849,0.006443861,2.313333333
18,4.093892,331.2709,1.286319804,81.715246,0.057519006,0.038116469,0.062391663,3.29
19,4.296481,316.0174,1.286119724,83.467623,0.034505843,0.043356916,0.052743131,1.81
20,4.753675,320.6419,1.28618321,83.986553,0.077954425,0.005710487,0.0436062,1.473333333
21,5.398686,327.8487,1.286378817,84.690359,0.068104498,0.049720467,0.045497805,4.24
22,5.141499,325.2694,1.285811877,85.124786,0.092073712,0.090810113,0.069263659,9.243333333
23,7.017973,333.4055,1.289563554,85.333267,0.078580183,0.022840634,0.016544882,26.06
24,4.456503,275.4926,1.288345558,85.065869,0.058113907,0.032435819,0.069719792,2.213333333
25,4.652885,287.708,1.287377535,86.576239,0.060354404,0.020501541,0.047312568,4.366666667
26,4.583949,301.3729,1.286881552,86.683158,0.080020415,0.054005684,0.03122215,2.323333333
27,6.743705,321.9407,1.285240437,85.81768,0.06549637,0.126696557,0.105757278,7.926666667
28,5.666281,25.47059,1.291442812,86.89422,0.08162442,0.128126127,0.020061062,4.726666667
29,5.52934,19.54445,1.290998022,85.930353,0.098048971,0.11817665,0.063737369,5.136666667
30,5.111442,22.99854,1.29032355,86.591114,0.076176723,0.052317919,0.015987863,7.483333333
31,5.181741,22.80782,1.290237155,87.34154,0.076286098,0.033559137,0.054587507,6.526666667
32,4.676431,23.17814,1.289936574,87.984647,0.068107944,0.055638289,0.11843983,4.05
33,4.189228,26.85999,1.2899675,88.562887,0.088632488,0.088900496,0.061345013,2.326666667
34,4.582153,29.03337,1.29016134,88.9745,0.104785087,0.046210276,0.041341834,1.673333333
35,4.665957,28.93754,1.291856204,86.230681,0.15319554,0.271277634,0.102252818,2.183333333
36,4.772857,24.71887,1.290401364,85.921229,0.116471602,0.292634882,0.159617896,2.556666667
37,4.59978,28.70354,1.288988824,83.479923,0.083475731,0.208988354,0.059538226,11.13333333
