Sequence No.,V,D,air density,I,S_b,y (% relative to rated power)
1,11.52,160.4,1.189716915,0.032118056,0.688399654,90.0969697
2,11.42,160.2,1.190330073,0.036777583,0.74660437,90.13333333
3,11.57,160,1.189956534,0.035436474,0.748534437,86.96363636
4,12.04,160.7,1.189764739,0.03654485,0.744800922,87.84848485
5,12.33,159.9,1.189032686,0.03000811,0.709161216,92.33939394
6,12.25,160.7,1.189568818,0.031836735,0.712123887,88.87878788
7,12.11,160.1,1.190016685,0.034682081,0.719313487,92.42424242
8,12.29,160.6,1.190319883,0.030919447,0.7168679,95.04242424
9,12.15,159.6,1.190401593,0.037037037,0.719044286,93.62424242
10,12.44,160.2,1.190429185,0.036173633,0.704236476,93.64242424
11,12.6,159.8,1.190617218,0.038095238,0.665015316,90.41212121
12,12.88,158.7,1.190669366,0.034937888,0.600258074,85.95757576
13,13.21,150.7,1.190891203,0.035579107,0.557026434,83.17575758
14,13.48,150.1,1.190829885,0.03189911,0.580465673,92.26060606
15,13.48,159.9,1.190963934,0.027448071,0.599808873,94.44848485
16,13.48,162.8,1.191063229,0.028931751,0.574055193,93.5030303
17,13.62,163.2,1.190965079,0.028634361,0.588486745,96.64848485
18,13.41,163.5,1.191068369,0.029828486,0.556098529,99.02424242
19,12.66,162.5,1.191949926,0.036334913,0.582420514,101.2424242
20,12.25,161.8,1.192808215,0.035918367,0.626351452,100.9030303
21,11.82,159.4,1.193716962,0.043993232,0.645280961,96.4969697
22,11.49,162,1.194379194,0.040034813,0.640942095,87.98787879
23,12.01,159.3,1.193862588,0.036636137,0.640858322,90.03636364
24,12.23,152.3,1.193462149,0.042518397,0.634774272,95.57575758
25,11.99,150.4,1.193477861,0.047539616,0.684550962,95.6969697
26,12.46,148.2,1.192877452,0.039325843,0.640196845,94.13939394
27,12.19,151.6,1.193372145,0.047579984,0.537499332,80.6
28,11.14,157.4,1.195104238,0.047576302,0.478769153,73.72727273
29,11.12,159.3,1.195669885,0.036870504,0.433120781,71.16969697
30,11.23,155.5,1.195063851,0.040071238,0.440467519,76.9030303
31,11.62,156.1,1.194662478,0.055077453,0.557681071,78.1030303
32,12.39,158.6,1.193728409,0.052461663,0.507336781,85.61212121
33,12.93,156.8,1.19283418,0.050270688,0.505121705,91.75151515
34,12.91,155.8,1.192363843,0.05344694,0.429545292,90.75151515
35,12.53,154.8,1.191520531,0.064644852,0.428860631,94.85454545
36,12.61,154.9,1.19082168,0.065820777,0.40885677,99.76363636
37,12.81,155.2,1.189845241,0.06088993,0.387361557,100.7090909
38,13.55,158.1,1.188932178,0.061254613,0.37017158,99.58787879
39,13.05,161.3,1.187969649,0.072030651,0.361492604,98.54545455
40,13.09,160,1.186409941,0.069518717,0.344384713,101.4181818
41,13,160,1.185044969,0.073846154,0.307370006,101.3030303
42,12.91,160.4,1.184697478,0.070487994,0.335532564,100.7090909
43,13.01,162.3,1.182999128,0.083013067,0.322856154,98.02424242
44,13.57,166,1.180772077,0.06705969,0.379265011,100.5878788
45,14.28,167.1,1.178104047,0.088235294,0.317142097,101.6666667
46,15.56,168,1.175320607,0.093187661,0.223586014,101.5212121
47,14.42,168.8,1.173918575,0.079056865,0.22003951,101.4848485
48,15.01,171.6,1.171557931,0.09260493,0.219117355,101.5151515
49,15.47,173.2,1.168161031,0.095669037,0.153043931,101.5272727
50,17.2,174.7,1.166965039,0.073837209,0.195621552,101.4181818
51,17.09,175.7,1.165277876,0.095962551,0.192681581,101.5030303
52,17.09,176.5,1.164086312,0.082504389,0.158919359,101.5575758
53,18.07,177.9,1.162789083,0.101826231,0.233074078,101.3818182
54,17.08,172.5,1.162576413,0.110655738,0.194218296,101.5454545
55,15.46,171.3,1.161554119,0.079560155,0.239464345,101.5030303
56,16.2,171.6,1.159232025,0.089506173,0.202265133,101.5212121
57,16.94,172.8,1.157773166,0.089728453,0.207382974,101.4848485
58,16.67,174.3,1.157148311,0.092381524,0.224132518,101.4242424
59,16.72,173.1,1.155067608,0.111842105,0.178346874,101.5939394
60,17.92,174.3,1.15356899,0.085379464,0.190119369,101.5575758
61,18.51,175.3,1.151344352,0.091301999,0.18510539,101.3939394
